1本動画プレゼント台本の流れ,,,,,,,,,,,流れを箇条書きで記載,,,,,,,,,修正後
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"ママでも)自分の可能性を諦めない！
専門スキルがなくても時短術×神サポート術で理想の在宅ワークを叶える3つの秘訣",,,,,,,,,
１、あいさつ・導入,なぜ今これが大事なのか。この動画を見るとチャンスを掴めるということをメインに伝える,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
導入,お名前,,,,,,,,,,導入,"こんにちは！あやねえです。
この度はLINEのプレゼント動画を見てくださって本当にありがとうございます。",,,,,,,,"こんにちは！あやねえです。
この度はLINEのプレゼント動画を見てくださって本当にありがとうございます。"
,動画のタイトル＋受け取りの感謝,,,,,,,,,,,"この動画では、
「ママでも、専門スキルがなくても、在宅で月30万円以上稼ぐ方法」
その中でも、【時短術×神サポート術】を掛け合わせて、
理想の働き方を叶える《3つの秘訣》をお届けします。",,,,,,,,"この動画では、
「ママでも、専門スキルがなくても、在宅で月30万円以上稼ぐ方法」
その中でも、【時短術×神サポート術】を掛け合わせて、
理想の働き方を叶える《3つの秘訣》をお届けします。"
,視聴期限がある場合は強調して伝える,,,,,,,,,,,本題に入る前に少しお伝えしたいことがあるのですが、こちらの動画は3日間限定の視聴期限が設けられています。一度ページを開いてから3日をすぎると、こちらの動画も、動画を見れているページも、2度と見ることができなくなるためぜひお時間ある時に集中してご覧いただければと思います。,,,,,,,,本題に入る前に少しお伝えしたいことがあるのですが、こちらの動画は3日間限定の視聴期限が設けられています。一度ページを開いてから3日をすぎると、こちらの動画も、動画を見れているページも、2度と見ることができなくなるためぜひお時間ある時に集中してご覧いただければと思います。
,動画の最後にお伝えするもう１つのプレゼントを少し紹介する,,,,,,,,,,,"また、動画の最後には、こちらのプレミアム動画よりもさらに特別な特典のご紹介があります。
それは、「理想の在宅ワークを実現するまでのロードマップ個別相談会」というもので、
専門スキル0からでも在宅ワークで
安定収入を叶えるまでの具体的なロードマップを
今のあなたの状況に合わせて一緒に考えます",,,,,,,,"また、動画の最後には、こちらのプレミアム動画よりもさらに特別な特典のご紹介があります。
それは、「理想の在宅ワークを実現するまでのロードマップ個別相談会」というもので、
専門スキル0からでも在宅ワークで
安定収入を叶えるまでの具体的なロードマップを
今のあなたの状況に合わせて一緒に考えます"
,個別相談や勉強会のタイトル,,,,,,,,,,,こちらの特典の詳細については、動画の最後にお伝えしますのでぜひ最後までご覧ください。,,,,,,,,こちらの特典の詳細については、動画の最後にお伝えしますのでぜひ最後までご覧ください。
,個別相談や勉強会で得られることを軽く紹介,,,,,,,,,,,,,,,,,,,
,動画タイトルを徹底解説することを伝える,,,,,,,,,,,"それでは、ここからは私自身がアラフォーで3児の母、しかもそのうち2人は双子というドタバタな生活の中でも
会社員から独立、オンライン秘書として在宅で安定収入を叶え、自由とやりがいを両立して働けるようになった経験をもとにお話しします。",,,,,,,,"それでは、ここからは私自身がアラフォーで3児の母、しかもそのうち2人は双子というドタバタな生活の中でも
会社員から独立、オンライン秘書として在宅で安定収入を叶え、自由とやりがいを両立して働けるようになった経験をもとにお話しします。"
,このプレゼントはどんな経験や学びを経てお伝えしているのかを伝える,,,,,,,,,,,この動画でお伝えする3つの秘訣には「在宅で働きたいけど時間もスキルもない」と悩んでいる方が理想の働き方を叶えるためのヒントが詰まっているので、ぜひ楽しみにしていただければなと思います。,,,,,,,,この動画でお伝えする3つの秘訣には「在宅で働きたいけど時間もスキルもない」と悩んでいる方が理想の働き方を叶えるためのヒントが詰まっているので、ぜひ楽しみにしていただければなと思います。
,最後まで見てねと伝える,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,１、私について,,,,,,,,１、私について
実績,自己紹介,,,,,,,,,,実績,改めましてあやねえと申します。,,,,,,,,改めましてあやねえと申します。
,経歴や実績,,,,,,,,,,,"私は現在、自身も秘書として活動しながら会社を経営し、
在宅で働くオンライン秘書を養成する、「秘書力マスター講座」を主宰しています。

今でこそ、
✅ オンライン秘書として在宅で月収100万円超え
✅ 好きに海外を飛び回りこどもと1年間海外移住
✅ 時短術に関する書籍を出版
などを実現し、好きな時に好きな場所で好きな仲間や尊敬する方々と働いてますが",,,,,,,,"私は現在、自身も秘書として活動しながら会社を経営し、
在宅で働くオンライン秘書を養成する、「秘書力マスター講座」を主宰しています。

今でこそ、
✅ オンライン秘書として在宅で月収100万円超え
✅ 好きに海外を飛び回りこどもと1年間海外移住
✅ 時短術に関する書籍を出版
などを実現し、好きな時に好きな場所で好きな仲間や尊敬する方々と働いてますが"
,今の仕事を始めたきっかけや共感のストーリー,,,,,,,,,,,"実は、数年前までは全く違う生活を送っていました。

私は元々、10年以上大手企業で働いていた“バリバリの会社員”でした。
でも3人目の出産後、職場復帰を控えながらふと、
「このままの働き方で、私の人生ほんとにいいのかな…？」
と、もやもやし始めたんです。",,,,,,,,"実は、数年前までは全く違う生活を送っていました。

私は元々、10年以上大手企業で働いていた“バリバリの会社員”で、いわゆる「安定」した働き方と家庭を手に入れていたはずでした。
だけど心の中ではずっと、「何か違う」と感じていたんです。

仕事も子育ても全力。責任感も強く、周りの期待に応えることばかり優先して、
「ちゃんと働いて、ちゃんと稼いでるのに、なぜこんなに毎日が苦しいんだろう…」と悩み続けていました。
器用にこなしているように見えて、本当はキャパオーバー。
「誰かに認められたい」そんな気持ちで自分をすり減らしていたんです。

そして気づいたんです。
子どもを幸せにするには、まずママが幸せでいること。
そのためには“自分の人生を自分で選ぶ”必要がある。"
,実績を出せるようになり、生活状況がどうなったのかを伝える,,,,,,,,,,,"そこから副業として
ブログ、アフィリエイト、物販、投資など…
いろんなことにチャレンジしましたが、4年間も成果が出ず遠回り​。

子育てや家事に追われながら、深夜にパソコンを開いても、
「こんなことしてて意味あるのかな…」って何度も挫けそうになりました。

そんな私がたどり着いたのが「オンライン秘書」という働き方です。",,,,,,,,"田舎に住むアラフォー、しかも3人のママだけど、
「ママだって、自分の“やりたい”を諦めたくない」そんな想いで独立を決意しました。

色々な副業やネットビジネスを試した末に、最後にたどり着いたのが、
このオンライン秘書という働き方です。"
,受講生がいる場合は同じように受講生の変化も伝える,,,,,,,,,,,"最初は「スーツ着て社長の隣でスケジュール管理してる人」ってイメージで、
そんなの自分にできるわけないって思ってました。

でも実際に始めてみたら、
会社員時代の“普通のスキル”が、びっくりするくらい役立ったんです！

メールマナー、Excel操作、段取り力…
それらがクライアントに「助かる！」って感謝されるんですね。",,,,,,,,"最初はオンライン秘書って聞いたら「スーツ着て社長の隣でスケジュール管理してる人」ってイメージで、
そんなの自分にできるわけないって思ってました。

でも実際に始めてみたら、
会社員時代の“普通のスキル”が、びっくりするくらい役立ったんです！

メールマナー、Excel操作、段取り力…
それらがクライアントに「助かる！」って感謝されるんですね。"
,これらの実績を出せるようになったのは（あなたの商品のポイント）を知っていたからと伝える,,,,,,,,,,,"そこからわずか3ヶ月で月収30万円を達成し、
6ヶ月で60万円、11ヶ月目には月収100万円に​なりました。
今では「この人にお願いしたい」と言ってもらえるようになって、紹介が絶えません。",,,,,,,,"そこからわずか3ヶ月で月収30万円を達成し、
6ヶ月で60万円、11ヶ月目には月収100万円に​なりました。
今では「この人にお願いしたい」と言ってもらえるようになって、紹介が絶えません。"
,そんな私も〜年前までは〜〜〜な状態でした。（最初から上手く行ってたんでしょと思われないように）,,,,,,,,,,,"私だけでなく、私の講座の受講生たちも同じように、
会社員スキルを活かして半年以内に結果を出しています。

",,,,,,,,"実は、私の受講生の方たちも同じように、
会社員スキルを活かして半年以内に結果を出しています。

"
,〜年前から今までの上手くいかなかったエピソードや頑張っていたことなどを話す,,,,,,,,,,,"例えば、ナツさん。
5歳と2歳の2人のお子さんを育てながら、フルタイムの会社員として働いていました。
元々は「ウェブデザインを勉強して副業しよう」と頑張っていたんですが、
仕事・育児・勉強の三重苦で、疲れ切っていたんです​。

「このままで本当に変われるの？」
「私がやりたいことって、これだったっけ…？」
と、不安を抱えていた時に、私の無料セッションに参加してくれました。

そこからオンライン秘書に切り替えたことで、
✔ 会社員時代の事務スキルを活かせる
✔ 育児と両立できる
✔ 実践を通してスキルアップできる
…と、自分でも驚くくらいのスピードで成長して、なんと半年後には会社を辞めて独立！

今では複数のクライアントさんを持ち、
「月収100万円を目指します！」と力強く宣言してくれています。

",,,,,,,,"例えば、ナツさん。
5歳と2歳の2人のお子さんを育てながら、フルタイムの会社員として働いていました。
元々は「ウェブデザインを勉強して副業しよう」と頑張っていたんですが、
仕事・育児・勉強の三重苦で、疲れ切っていたんです​。

「このままで本当に変われるの？」
「私がやりたいことって、これだったっけ…？」
と、不安を抱えていた時に、私の無料セッションに参加してくれました。

そこからオンライン秘書に切り替えたことで、
✔ 会社員時代の事務スキルを活かせる
✔ 育児と両立できる
✔ 実践を通してスキルアップできる
…と、自分でも驚くくらいのスピードで成長して、なんと半年後には会社を辞めて独立！

今では複数のクライアントさんを持ち、
「月収100万円を目指します！」と力強く宣言してくれています。

"
,私も〜〜〜〜〜な状態からスタート。,,,,,,,,,,,"ほかにも、4歳の双子と2歳の男の子を育てながらフルタイムで働いていたゆーぽんさん。
育休明けの復職後、忙しさに追われる毎日をなんとかこなすものの、
「このままでいいのかな」とモヤモヤを抱え、行動に移せないまま4年が過ぎていました。

そんな中、私とのセッションをきっかけに、家事・育児の時短を徹底し“自分のための時間”を確保。
noteでの発信やKindle出版にチャレンジするうちに「秘書としても活躍できるかも」と新たな可能性に気づきます。

今では働き方を見直し、本業の退職も視野に入れながら、秘書業に向けて本格的に動き始めました。
「時間が足りないくらい楽しい毎日になった」と話す彼女は、まさに人生を取り戻し始めています。",,,,,,,,"ほかにも、4歳の双子と2歳の男の子を育てながらフルタイムで働いていたゆーぽんさん。
育休明けの復職後、忙しさに追われる毎日をなんとかこなすものの、
「このままでいいのかな」とモヤモヤを抱え、行動に移せないまま4年が過ぎていました。

そんな中、私とのセッションをきっかけに、家事・育児の時短を徹底し“自分のための時間”を確保。
noteでの発信やKindle出版にチャレンジしたり、今では実際にインフルエンサーさんの秘書として活躍しています。

「やりたいことが多すぎて時間が足りないくらい楽しい毎日になった」と話す彼女は、まさに人生を取り戻し始めていて、本当にイキイキしています。"
,そんな状態からスタートしても今の〜〜〜〜〜な状態になることができたと伝える,,,,,,,,,,,,,,,,,,,
,これまで〜〜〜〜〜〜などを学び、〜〜〜〜〜〜を経験してきました,,,,,,,,,,,"そして、あみさん。
育児と本業に忙殺される毎日で自信を失っていたとのことでしたが、私の時短コーチングを受けて半年。「しなやかなマインド」と「目標への推進力」を身につけ、悩みを適切に整理する力が芽生えました。
具体的なタスク管理で一歩ずつ確実に前進し、ライティングやSNS発信のスキルも習得。ついには独立を決断するまでの大きな変化を遂げました。",,,,,,,,"そして、あみさん。
育児と本業に忙殺される毎日で自信を失っていたとのことでしたが、私の時短コーチングを受けて半年。「しなやかなマインド」と「目標への推進力」を身につけ、悩みを適切に整理する力が芽生えました。
具体的なタスク管理で一歩ずつ確実に前進し、ライティングやSNS発信のスキルも習得。ついには独立を決断するまでの大きな変化を遂げました。"
,そして今では（３つぐらい目立つ実績を伝える）を叶えてます,,,,,,,,,,,"このように子育て中でも、会社員しながらでも、専門スキルがなくても、理想の働き方を手に入れることは決して夢ではありません。

では、ここから実際に私の経験と受講生の実例を元に、
「ママでも在宅で月30万円を叶える3つの秘訣」をお伝えしていきます。",,,,,,,,"このように子育て中でも、会社員やこれまでのキャリアを活かし、理想の働き方を手に入れることは決して夢ではありません。

では、ここから実際に私の経験と受講生の実例を元に、
「ママでも在宅で月30万円を叶える3つの秘訣」をお伝えしていきます。"
,これらの実績を叶えた理由はこの動画で１つずつお伝えしていきます,,,,,,,,,,,,,,,,,,,
,動画の内容を大まかにまとめて伝える（３ポイントぐらい）,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
２、本題,理想を叶えている理由。変化を伝える,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,２、ママでも月30万円稼げる3つの秘訣,,,,,,,,２、ママでも月30万円稼げる3つの秘訣
具体的な内容やノウハウ,お客様の悩みをいくつかあげる,,,,,,,,,,具体的な内容やノウハウ,"今、こんなことで悩んでいませんか？

家事・育児・仕事に追われて、1日があっという間に終わる

自分の時間がほとんどなくて、やりたいことは「いつか…」で終わってる

在宅で働きたい気持ちはあるけど、スキルも自信もない

SNSや発信が苦手で「私にできることなんてあるの？」と思ってしまう

…でも、実はそれ、ぜんぶ過去の私も同じでした。",,,,,,,,"今、こんなことで悩んでいませんか？

家事・育児・仕事に追われて、1日があっという間に終わる

自分の時間がほとんどなくて、やりたいことは「いつか…」で終わってる

在宅で働きたい気持ちはあるけど、スキルも自信もない

SNSや発信が苦手で「私にできることなんてあるの？」と思ってしまう

…でも、実はそれ、ぜんぶ過去の私も同じでした。"
,この原因に陥る理由を話す,,,,,,,,,,,,,,,,,,,
,例えば…,,,,,,,,,,,,,,,,,,,
,でもなぜ私や受講生は叶えられているのか？,,,,,,,,,,,,,,,,,,,
,それは〜〜〜〜〜だけではなく（商品のポイント）を学び〜〜〜〜〜〜までできるからです。,,,,,,,,,,,"そんな中で出会ったのが「オンライン秘書」という働き方。

最初は「秘書って特別なスキルがいるんじゃ…？」と思ってたけど、
実際にやってみたら、会社員でやってきた
・メール対応
・Excel入力
・スケジュール調整
…みたいな“当たり前”が、すごく役立ったんです。
それに、ママとしての「段取り力」も超武器になります！

",,,,,,,,"そんな中で出会ったのが「オンライン秘書」という働き方。

最初は「秘書って特別なスキルがいるんじゃ…？」と思ってたけど、
実際にやってみたら、会社員でやってきた
・メール対応
・Excel入力
・スケジュール調整
…みたいな“当たり前”が、すごく役立ったんです。
それに、ママとしての「段取り力」も超武器になります！

"
,,,,,,,,,,,,,,,,,,,,
,理想を叶えている人の共通点,,,,,,,,,,,,,,,,,,,
,お客様が予想しそうなことを挙げながら意外性のあるものを伝える,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"なぜ私や受講生が最短で理想の働き方を叶えられたのか？というと、

その理由は、オンライン秘書が
・初期費用がほぼゼロ
・ 会社員の経験をそのまま活かせる
・ 忙しいママでも時間をやりくりしやすい
・ そして何より、紹介やリピートがどんどん広がる
という最強の働き方だからです。
",,,,,,,,"なぜ私や受講生が最短で理想の働き方を叶えられたのか？というと、

その理由は、オンライン秘書が
・初期費用がほぼゼロ
・ 会社員の経験をそのまま活かせる
・ 忙しいママでも時間をやりくりしやすい
・ そして何より、紹介やリピートがどんどん広がる
という最強の働き方だからです。
"
,実際にこの共通点がある受講生の実績や自分の実績を伝える,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,よくある相談や悩みの共通点（５つほど）,,,,,,,,,,,"さらに、「ただの作業代行」ではなく、
「先回りして提案できるサポーター」になることで、
クライアントさんに「替えが効かない存在」として重宝され、
自然と単価が上がっていきました。

この「神サポート術」こそが、
今、在宅で安定して稼ぎたいママにとって一番の近道なんです。",,,,,,,,"さらに、「ただの作業代行」ではなく、
「先回りして提案できるサポーター」になることで、
クライアントさんに「替えが効かない存在」として重宝され、
自然と単価が上がっていくんです。

この「神サポート術」こそが、
今、在宅で安定して稼ぎたいママにとって一番の近道なんです。"
,一方、理想を叶えている人は〜〜〜〜〜という悩みを聞いたことがない,,,,,,,,,,,,,,,,,,,
,なぜなら〜〜〜〜〜〜だから,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"「私には無理かも…」って思った方もいるかもしれませんが、大丈夫！

ここから「どうやって理想の在宅ワークを叶えるのか？」その具体的なステップを解説していきます！

",,,,,,,,"とはいえ、「私には無理かも…」って思った方もいるかもしれませんが、大丈夫！

ここから

"
,,,,,,,,,,,,,,,,,,,,
,（商品ポイント）ができる人とは？,,,,,,,,,,,,,,,,,,,「どうやって理想の在宅ワークを叶えるのか？」その具体的なステップを解説していきます！
,なぜこのポイントを学ぶことがチャンスなのかを伝える,,,,,,,,,,,,,,,,,,,
,これを学ぶことでの変化を伝える,,,,,,,,,,,ステップ①：まずは“時短で”“時間”をつくる！,,,,,,,,ステップ①：まずは“時短で”“時間”をつくる！
,難しそうに思うかもしれないけど、簡単だよと再現性を伝える,,,,,,,,,,,"最初のステップは、「時間をつくること」 これ、めちゃくちゃ大事です。 

とはいえ私も3児のママとして、時間のやりくりには本当に苦労してきました。 

特に小さなお子さんがいると、 ごはんの用意、洗濯、送り迎え、お風呂、寝かしつけ…。

 1日が終わる頃にはもうヘトヘトで「時間を作るどころか、気力が残ってないんですけど…」っていうのがリアルだと思います。 

でも日々の家事をちょっと見直すだけでも時間は作り出すことができます。 

たとえば、 
・衣類は畳まず、引き出しのないスチールラックに収納にする
・洗濯機からクローゼットまでの導線を1本化する
・よく使うものはウォールポケットに収納して探す時間をなくす
など。

そして大事なのは「家事はママがやるもの」というマインドブロックを外すこと。

家事代行やドラム式洗濯機、食洗機などに頼りつつ、家族を巻き込み「ひとりで頑張らないこと」は最強の時短になります。",,,,,,,,"最初のステップは、「時間をつくること」 これ、めちゃくちゃ大事です。 

とはいえ私も3児のママとして、時間のやりくりには本当に苦労してきました。 

特に小さなお子さんがいると、 ごはんの用意、洗濯、送り迎え、お風呂、寝かしつけ…。

 1日が終わる頃にはもうヘトヘトで「時間を作るどころか、気力が残ってないんですけど…」っていうのがリアルだと思います。 

でも実は、日々の家事をちょっと見直すだけでも時間は作り出すことができます。 

たとえば、 
・衣類は畳まず、引き出しのないスチールラックに収納にする
・洗濯機からクローゼットまでの導線を1本化する
・よく使うものはウォールポケットに収納して探す時間をなくす
など。

そして大事なのは「家事はママがやるもの」という“思い込み”を手放すこと。

家事代行の利用やドラム式洗濯機、食洗機に頼りつつ、家族を巻き込み「ひとりで頑張らないこと」は最強の時短になります。"
,実際に私や受講生も〜〜〜〜〜〜〜をできているよと伝える,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ステップ②：“自分の強み”を理解する,,,,,,,,ステップ②：“自分の強み”を理解する
,もう今からじゃ遅いんじゃないか？という懸念をなくす,,,,,,,,,,,"次のステップは、
「自分の強みを理解すること」です。

「私にはスキルがないから…」
「何か資格を取らなきゃ…」
そう思って、なかなか一歩を踏み出せない方って本当に多いです。

でも、それって実は【思い込み】です。",,,,,,,,"次のステップは、
「自分の強みを理解すること」です。

「私にはスキルがないから…」
「何か資格を取らなきゃ…」
そう思って、なかなか一歩を踏み出せない方って本当に多いです。

でも、それって実は【思い込み】です。"
,自分に合ったやり方さえわかれば大丈夫→これは後ほど紹介する個別相談でお伝えできるので楽しみにしておいてと伝える,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"たとえば会社員時代にやっていた、
・メール対応
・スケジュール調整
・データ入力
・ちょっとした気配りや報連相

これって、あなたにとっては「当たり前」かもしれません。
でも、実はこれ、できない経営者さんがめちゃくちゃ多いんです。

経営者さんって、アイデア出しやビジネスモデルの設計は得意でも、
事務や細かい管理が苦手な人が多いんですよね

だからこそ、そういう“縁の下の力持ち”的なサポートが、
ものすごく喜ばれるんです。
あなたの“当たり前”は、誰かの“ありがたい”なんですよ。",,,,,,,,"たとえば会社員時代にやっていた、
・メール対応
・スケジュール調整
・データ入力
・ちょっとした気配りや報連相

これって、あなたにとっては「当たり前」かもしれません。
でも、実はこれを誰かにお願いできると助かる経営者さんがめちゃくちゃいます。

経営者さんって、アイデア出しやビジネスモデルの設計は得意でも、
事務や細かい管理が苦手な人が多いんですよね

だからこそ、そういう“縁の下の力持ち”的なサポートが、
ものすごく喜ばれるんです。
あなたの“当たり前”は、誰かの“ありがたい”なんですよ。"
,ここまでこの動画を見て（振り返り）,,,,,,,,,,,,,,,,,,,
